a’bbõnd,ˈɑˀbːənd
sǭņõ,ˈsɒːɲə
sǭtõ,ˈsɒːtə
sõnāvīļa,ˈsɯnɑːviːʎɑ
sõstār,ˈsɯstɑːr
sõ’vpivād,ˈsɯˀvpivɑːd
seismõztuoistõnz,ˈseisməztuoistənz
sǟnaɡ,ˈsæːnɑɡ
sõzār,ˈsɯzɑːr
sȭrmõz,ˈsɯːrməz
spāņ,ˈspɑːɲ
spāņmǭ,ˈspɑːɲmɒː
spek,ˈspek
spīeɡiļ,ˈspiːeɡiʎ
spleiš,ˈspleiʃ
spūok,ˈspuːok
spūoļ,ˈspuːoʎ
sõidõ,ˈsɯidə
stǭdõ,ˈstɒːdə
sõnā,ˈsɯnɑː
strǭdõ,ˈstrɒːdə
student,ˈstudent
sõitõ,ˈsɯitə
stuņḑ,ˈstuɲɟ
su’dmaļ,ˈsuˀdmɑʎ
suɡā,ˈsuɡɑː
su’ɡɡõ,ˈsuˀɡːə
suɡīd,ˈsuɡiːd
su’ɡli,ˈsuˀɡli
sõnārǭntõz,ˈsɯnɑːrɒːntəz
sulā,ˈsulɑː
sulātõ,ˈsulɑːtə
sulɡ,ˈsulɡ
su’lli,ˈsuˀlːi
sõ’ɡļõ,ˈsɯˀɡʎə
suodā,ˈsuodɑː
sumār,ˈsumɑːr
su’llõ,ˈsuˀlːə
sušā,ˈsuʃɑː
su’ž,ˈsuˀʒ
su’ɡ,ˈsuˀɡ
sūkõl,ˈsuːkəl
sūo,ˈsuːo
suoŗm,ˈsuorʲm
sūoli,ˈsuːoli
sūoļ,ˈsuːoʎ
sūolõ,ˈsuːolə
sūomli,ˈsuːomli
sūomõmǭ,ˈsuːoməmɒː
sūoņ,ˈsuːoɲ
sūormõks,ˈsuːorməks
sūr,ˈsuːr
sūrkak,ˈsuːrkɑk
sūoŗ,ˈsuːorʲ
suotkõ,ˈsuotkə
sūrli,ˈsuːrli
sva’rrõ,ˈsvɑˀrːə
svinā,ˈsvinɑː
šilt,ˈʃilt
škērõd,ˈʃkeːrəd
š,ʃ
škink,ˈʃkink
šlūik,ˈʃluːik
t,t̪
sūŗit,ˈsuːrʲit
tabātõ,ˈtɑbɑːtə
ta,ˈtɑ
taɡā,ˈtɑɡɑː
ta’bbõ,ˈtɑˀbːə
sūrslõ,ˈsuːrslə
taɡāmūpõ,ˈtɑɡɑːmuːpə
taɡān,ˈtɑɡɑːn
taɡānd,ˈtɑɡɑːnd
ta’ɡɡi,ˈtɑˀɡːi
taibõdakš,ˈtɑibədɑkʃ
taim,ˈtɑim
tajā,ˈtɑjɑː
takā,ˈtɑkɑː
ta’l,ˈtɑˀl
taļ,ˈtɑʎ
ta’lk,ˈtɑˀlk
tapārtõ,ˈtɑpɑːrtə
tappõ,ˈtɑpːə
taplõ,ˈtɑplə
šveits,ˈʃveits
tarāb,ˈtɑrɑːb
taļšpivād,ˈtɑʎʃpivɑːd
ta’ɡɡõ,ˈtɑˀɡːə
tabā,ˈtɑbɑː
tazā,ˈtɑzɑː
ta’zzi,ˈtɑˀzːi
tā’ɡiž,ˈtɑːˀɡiʒ
tabār,ˈtɑbɑːr
tārpali,ˈtɑːrpɑli
tas,ˈtɑs
tämā,ˈtæmɑː
tä’mīezõ,ˈtæˀmiːezə
tämpõ,ˈtæmpə
täpīņtõ,ˈtæpiːɲtə
täs,ˈtæs
tästā,ˈtæstɑː
täsā,ˈtæsɑː
tarā,ˈtɑrɑː
täuž,ˈtæuʒ
tä’v,ˈtæˀv
tǟ’dõks,ˈtæːˀdəks
te’b,ˈteˀb
tǟ’tõ,ˈtæːˀtə
te’ddõr,ˈteˀdːər
tazāntõ,ˈtɑzɑːntə
teib,ˈteib
tarīļ,ˈtɑriːʎ
teļļõ,ˈteʎːə
testament,ˈtestɑment
tēɡ,ˈteːɡ
tē’ḑ,ˈteːˀɟ
tēj,ˈteːj
tēɡal,ˈteːɡɑl
täm,ˈtæm
tä’m,ˈtæˀm
täudõ,ˈtæudə
tienāndõks,ˈtienɑːndəks
tie’nnõ,ˈtieˀnːə
tienū,ˈtienuː
tierāb,ˈtierɑːb
tēriņtõ,ˈteːriɲtə
tierāvīļa,ˈtierɑːviːʎɑ
tei,ˈtei
tieudmīez,ˈtieudmiːez
tēriņtš,ˈteːriɲt͡ʃ
tierōda,ˈtieroːdɑ
ti’ɡtõ,ˈtiˀɡtə
tijā,ˈtijɑː
tijāld,ˈtijɑːld
tikā,ˈtikɑː
tilā,ˈtilɑː
tilbrēḑiɡ,ˈtilbreːɟiɡ
tilkõ,ˈtilkə
tinā,ˈtinɑː
tink,ˈtink
tint,ˈtint
tidār,ˈtidɑːr
tirkmǭ,ˈtirkmɒː
tībõz,ˈtiːbəz
ti’ɡ,ˈtiˀɡ
tī’edõ,ˈtiːˀedə
tī’emizsõnā,ˈtiːˀemizsɯnɑː
tīepǟva,ˈtiːepæːvɑ
tīera,ˈtiːerɑ
tīerat,ˈtiːerɑt
tīe,ˈtiːe
tīetēji,ˈtiːeteːji
tieud,ˈtieud
tīetõ,ˈtiːetə
tīkõ,ˈtiːkə
tī’kõ,ˈtiːˀkə
tīlka,ˈtiːlkɑ
torī,ˈtoriː
touvõaiɡā,ˈtouvəɑiɡɑː
touzõ,ˈtouzə
tikkiž,ˈtikːiʒ
tǭ’dõ,ˈtɒːˀdə
to’vvõ,ˈtoˀvːə
tǭla,ˈtɒːlɑ
tǭ’mi,ˈtɒːˀmi
tōvaz,ˈtoːvɑz
tokš,ˈtokʃ
tõmbõ,ˈtɯmbə
ti’ɡmõd,ˈtiˀɡməd
tī’edõz,ˈtiːˀedəz
tõ’rmõz,ˈtɯˀrməz
tõurõz,ˈtɯurəz
tȭla,ˈtɯːlɑ
tȭlpa,ˈtɯːlpɑ
tȭlza,ˈtɯːlzɑ
tȭra,ˈtɯːrɑ
tȭratõ,ˈtɯːrɑtə
tȭrõks,ˈtɯːrəks
tõuk,ˈtɯuk
tsepļā,ˈtsepʎɑː
tsirp,ˈtsirp
toļ,ˈtoʎ
tsībõrmǭ,ˈtsiːbərmɒː
tsukkõr,ˈtsukːər
tšoļk,ˈt͡ʃoʎk
tubā,ˈtubɑː
tubāe’ḑḑi,ˈtubɑːeˀɟːi
tubāpēļi,ˈtubɑːpeːʎi
tukkõ,ˈtukːə
tu’lbi,ˈtuˀlbi
tulk,ˈtulk
tulūks,ˈtuluːks
tšūrtša,ˈt͡ʃuːrt͡ʃɑ
tu’ļ,ˈtuˀʎ
tu’ļļi,ˈtuˀʎːi
tundõ,ˈtundə
tuņšlõ,ˈtuɲʃlə
tõ’v,ˈtɯˀv
tuoi,ˈtuoi
tuoimiji,ˈtuoimiji
tuoisti,ˈtuoisti
tuoistõn,ˈtuoistən
tuoistõnz,ˈtuoistənz
tuoit,ˈtuoit
tõitõ,ˈtɯitə
tuoitõ,ˈtuoitə
tõvā,ˈtɯvɑː
tus,ˈtus
tõitõks,ˈtɯitəks
tū’ɡõpǟva,ˈtuːˀɡəpæːvɑ
tūima,ˈtuːimɑ
tūlda,ˈtuːldɑ
tūldõ,ˈtuːldə
tsīļ,ˈtsiːʎ
tūļi,ˈtuːʎi
tūļ,ˈtuːʎ
tulkõ,ˈtulkə
tū’oiɡõz,ˈtuːˀoiɡəz
tūoitõɡ,ˈtuːoitəɡ
tukāmǭ,ˈtukɑːmɒː
tū’ontõ,ˈtuːˀontə
tū’ontõz,ˈtuːˀontəz
tūoimki,ˈtuːoimki
tūrɡõz,ˈtuːrɡəz
tūoņ,ˈtuːoɲ
tūrska,ˈtuːrskɑ
ț,c
u’d,ˈuˀd
u,u
uḑā,ˈuɟɑː
uid,ˈuid
tūorõz,ˈtuːorəz
uikõ,ˈuikə
uim,ˈuim
tutkām,ˈtutkɑːm
uktõ,ˈuktə
ulātõ,ˈulɑːtə
ul,ˈul
uldõ,ˈuldə
ullõ,ˈulːə
u’llõ,ˈuˀlːə
ulzāndaji,ˈulzɑːndɑji
uļļi,ˈuʎːi
u’m,ˈuˀm
ukš,ˈukʃ
umāl,ˈumɑːl
umbliji,ˈumbliji
umārz,ˈumɑːrz
umblõ,ˈumblə
u’mmi,ˈuˀmːi
u’mmitsõnā,ˈuˀmːitsɯnɑː
un,ˈun
tū’oḑõ,ˈtuːˀoɟə
u’nnõ,ˈuˀnːə
udār,ˈudɑːr
u’ņ,ˈuˀɲ
u’ņņi,ˈuˀɲːi
urɡõ,ˈurɡə
unɡārmǭ,ˈunɡɑːrmɒː
upāndõ,ˈupɑːndə
ū,uː
ūdāiɡast kū,ˈuːdɑːiɡɑstkuː
ūdõ,ˈuːdə
ū’dõ,ˈuːˀdə
ū’kšõ,ˈuːˀkʃə
uttõ,ˈutːə
ūļ,ˈuːʎ
ūnd,ˈuːnd
ūolõ,ˈuːolə
ūoļ,ˈuːoʎ
ū’oļmõz,ˈuːˀoʎməz
ūomõɡ,ˈuːoməɡ
ūoņdžõl,ˈuːoɲdʒəl
ulzõ,ˈulzə
uskõ,ˈuskə
ūrɡa,ˈuːrɡɑ
ūrma,ˈuːrmɑ
ūsõd,ˈuːsəd
ūška,ˈuːʃkɑ
umbõ,ˈumbə
ūž,ˈuːʒ
ükš,ykʃ
ūžkilā,ˈuːʒkilɑː
vabā,ˈvɑbɑː
vadā,ˈvɑdɑː
v,v
va’dmõl,ˈvɑˀdməl
va’ɡ,ˈvɑˀɡ
vaɡā,ˈvɑɡɑː
va’ɡtõ,ˈvɑˀɡtə
ūdstõ,ˈuːdstə
vai’dlõ,ˈvɑiˀdlə
va’idõ,ˈvɑˀidə
ūm,ˈuːm
va’il,ˈvɑˀil
va’ilõ,ˈvɑˀilə
va’ild,ˈvɑˀild
urīkšõ,ˈuriːkʃə
va’it,ˈvɑˀit
va’itõ,ˈvɑˀitə
vajāɡ,ˈvɑjɑːɡ
vaiɡā,ˈvɑiɡɑː
vakā,ˈvɑkɑː
vaɡāŗ,ˈvɑɡɑːrʲ
vakțõ,ˈvɑkcə
vald,ˈvɑld
valdõ,ˈvɑldə
valktõ,ˈvɑlktə
va’llõ,ˈvɑˀlːə
va’llõ,ˈvɑˀlːə
vabām,ˈvɑbɑːm
vaļmõstõ,ˈvɑʎməstə
vaļmõz,ˈvɑʎməz
vanāǟma,ˈvɑnɑːæːmɑ
vanātǭți,ˈvɑnɑːtɒːci
va’jjõ,ˈvɑˀjːə
va’nbõ,ˈvɑˀnbə
va’nbizt,ˈvɑˀnbizt
vaņšti,ˈvɑɲʃti
va’imi,ˈvɑˀimi
vaps,ˈvɑps
varāld,ˈvɑrɑːld
varāz,ˈvɑrɑːz
vaņțlõ,ˈvɑɲclə
vaim,ˈvɑim
vaŗīkš,ˈvɑrʲiːkʃ
va’ŗtõ,ˈvɑˀrʲtə
va’ŗtõ,ˈvɑˀrʲtə
vastālovā,ˈvɑstɑːlovɑː
vast,ˈvɑst
vastātõ,ˈvɑstɑːtə
vastõ,ˈvɑstə
vastūks,ˈvɑstuːks
vašk,ˈvɑʃk
vaški,ˈvɑʃki
vatsā,ˈvɑtsɑː
vazār,ˈvɑzɑːr
vā’ɡiž,ˈvɑːˀɡiʒ
vālda,ˈvɑːldɑ
vālda me’r,ˈvɑːldɑmeˀr
vāldakrī’evmǭ,ˈvɑːldɑkriːˀevmɒː
vāina,ˈvɑːinɑ
vāldiņ,ˈvɑːldiɲ
va’l,ˈvɑˀl
va’l,ˈvɑˀl
vāldiž,ˈvɑːldiʒ
vāņka,ˈvɑːɲkɑ
vārbaz,ˈvɑːrbɑz
vārza,ˈvɑːrzɑ
vä’ɡɡi,ˈvæˀɡːi
vanā,ˈvɑnɑː
vändõ,ˈvændə
vā’ški,ˈvɑːˀʃki
vǟ’ɡrõ,ˈvæːˀɡrə
vǟ’rõd,ˈvæːˀrəd
värb,ˈværb
veis,ˈveis
veitõ,ˈveitə
veitõmtõ,ˈveitəmtə
ve’jjõ,ˈveˀjːə
vaŗž,ˈvɑrʲʒ
ve’ļ,ˈveˀʎ
ve’l,ˈveˀl
venkõ,ˈvenkə
venk,ˈvenk
vepšõ,ˈvepʃə
verm,ˈverm
vālɡamǭ,ˈvɑːlɡɑmɒː
ve’ržõ,ˈveˀrʒə
ve’r,ˈveˀr
vest,ˈvest
ve’žɡõr,ˈveˀʒɡər
vēļa,ˈveːʎɑ
vēļõ,ˈveːʎə
vēna,ˈveːnɑ
vērbikšõ,ˈveːrbikʃə
vi’b,ˈviˀb
ve’ž,ˈveˀʒ
vidumǭ,ˈvidumɒː
vidūmǭ,ˈviduːmɒː
viedām,ˈviedɑːm
ve’ɡɡi,ˈveˀɡːi
vie’nnõ,ˈvieˀnːə
vientõ,ˈvientə
vežā,ˈveʒɑː
vie’rtõ,ˈvieˀrtə
viɡā,ˈviɡɑː
viɡāli,ˈviɡɑːli
vi’ɡɡõl,ˈviˀɡːəl
vijā,ˈvijɑː
vi’jjõ,ˈviˀjːə
vikārt,ˈvikɑːrt
vi’l,ˈviˀl
villi,ˈvilːi
vä’ztõ,ˈvæˀztə
viļt,ˈviʎt
vindõ,ˈvində
vinɡ,ˈvinɡ
vie’ddõ,ˈvieˀdːə
vi’r,ˈviˀr
vēna,ˈveːnɑ
virɡtõ,ˈvirɡtə
virɡzi,ˈvirɡzi
virɡõ,ˈvirɡə
viettõ,ˈvietːə
vie’ddõl,ˈvieˀdːəl
vinɡõ,ˈvinɡə
vizās,ˈvizɑːs
vi’zzõ,ˈviˀzːə
vīdkimdõz,ˈviːdkimdəz
vībõ,ˈviːbə
virpõļ,ˈvirpəʎ
vīdõz,ˈviːdəz
vīdsadāz,ˈviːdsɑdɑːz
vīdtuoistõnz,ˈviːdtuoistənz
vīerõ,ˈviːerə
vīetšõz,ˈviːet͡ʃəz
vī’ɡõz,ˈviːˀɡəz
vīla,ˈviːlɑ
vīļa,ˈviːʎɑ
vīmba,ˈviːmbɑ
vīdõ,ˈviːdə
vī’mõ,ˈviːˀmə
vīnõ,ˈviːnə
vīnõmǭŗa,ˈviːnəmɒːrʲɑ
vīrba,ˈviːrbɑ
vīrdõɡ,ˈviːrdəɡ
vī’ri,ˈviːˀri
vizākuodā,ˈvizɑːkuodɑː
vīrtša,ˈviːrt͡ʃɑ
vīțsõnā,ˈviːcsɯnɑː
vīžkimdõ,ˈviːʒkimdə
vīžsadā,ˈviːʒsɑdɑː
vitsā,ˈvitsɑː
vīžtuoistõn,ˈviːʒtuoistən
vǭ’dõr,ˈvɒːˀdər
vǭja,ˈvɒːjɑ
vǭjastõ,ˈvɒːjɑstə
vīļakū,ˈviːʎɑkuː
vǭļikšiji,ˈvɒːʎikʃiji
vǭŗ,ˈvɒːrʲ
vǭ’jli,ˈvɒːˀjli
vȯ’ddõrz,ˈvɤˀdːərz
vȯ’dlõ,ˈvɤˀdlə
vȯidõ,ˈvɤidə
vȯiɡõ,ˈvɤiɡə
vȯikõ,ˈvɤikə
vȯiti,ˈvɤiti
vȯjā,ˈvɤjɑː
vȯ’l,ˈvɤˀl
vȯdā,ˈvɤdɑː
vȯļɡ,ˈvɤʎɡ
vȯndzi,ˈvɤndzi
vǭ’,ˈvɒːˀ
vȯrābõz,ˈvɤrɑːbəz
vȯ’lmsõnā,ˈvɤˀlmsɯnɑː
vȯ’ŗki,ˈvɤˀrʲki
vīț,ˈviːc
vȯŗž,ˈvɤrʲʒ
vȯtšõ,ˈvɤt͡ʃə
vȯzā,ˈvɤzɑː
vȯstõ,ˈvɤstə
vȯžā,ˈvɤʒɑː
vȱlda,ˈvɤːldɑ
vȱntsa,ˈvɤːntsɑ
vȱŗa,ˈvɤːrʲɑ
või,ˈvɯi
võidõ,ˈvɯidə
võidõ,ˈvɯidə
võ’l,ˈvɯˀl
vȯi,ˈvɤi
võttõ,ˈvɯtːə
võțīm,ˈvɯciːm
võzā,ˈvɯzɑː
vȭidaɡ,ˈvɯːidɑɡ
vȭlɡa,ˈvɯːlɡɑ
vȭrõz,ˈvɯːrəz
vȱrna,ˈvɤːrnɑ
vȯrūks,ˈvɤruːks
vȭrõzjemā,ˈvɯːrəzjemɑː
zäp,ˈzæp
zēp,ˈzeːp
zilb,ˈzilb
zirmi,ˈzirmi
z,z
zīḑõz,ˈziːɟəz
zīedõz,ˈziːedəz
ykš,ykʃ
zǭiɡõ,ˈzɒːiɡə
zōiɡõ,ˈzɒːiɡə
zup,ˈzup
ǭ,ɒː
ž,ʒ
zǭiɡ,ˈzɒːiɡ
võ’ilõ,ˈvɯˀilə
vȯņ,ˈvɤɲ
vȯrā,ˈvɤrɑː
vȭrõzizā,ˈvɯːrəzizɑː
võrɡõ,ˈvɯrɡə
kārda,ˈkɑːrdɑ
kațki,ˈkɑcki
ka’zzõ,ˈkɑˀzːə
kä’ɡ,ˈkæˀɡ
käp,ˈkæp
kārnaz,ˈkɑːrnɑz
kālmadtarā,ˈkɑːlmɑdtɑrɑː
kenɡmõd,ˈkenɡməd
kenɡõ,ˈkenɡə
kǟ’tõ,ˈkæːˀtə
kenɡšepā,ˈkenɡʃepɑː
kie’ddõrtõ,ˈkieˀdːərtə
kēratiji,ˈkeːrɑtiji
kie’vtõ,ˈkieˀvtə
kiksēņ,ˈkikseːɲ
kērabi,ˈkeːrɑbi
kilɡlū,ˈkilɡluː
kēļ,ˈkeːʎ
kimdõz,ˈkimdəz
ki’ldzi,ˈkiˀldzi
kim,ˈkim
kiužõ,ˈkiuʒə
kitsāz,ˈkitsɑːz
kinā,ˈkinɑː
kittõ,ˈkitːə
ki’v,ˈkiˀv
kī,ˈkiː
kī’lõ,ˈkiːˀlə
kīņḑõljālɡa,ˈkiːɲɟəljɑːlɡɑ
kīndõks,ˈkiːndəks
kītõm,ˈkiːtəm
kīndõr,ˈkiːndər
kle’it,ˈkleˀit
kīv,ˈkiːv
klēibõ,ˈkleːibə
kouɡõl,ˈkouɡəl
kouɡõn,ˈkouɡən
kouɡit,ˈkouɡit
kǭ’dõkskimdõ,ˈkɒːˀdəkskimdə
kǭla,ˈkɒːlɑ
kǭ’dõksmõz,ˈkɒːˀdəksməz
kǭraz,ˈkɒːrɑz
kouți,ˈkouci
kǭzɡõnd,ˈkɒːzɡɯnd
kõ’urõ,ˈkɯˀurə
kõ’r,ˈkɯˀr
kǭŗa,ˈkɒːrʲɑ
kõrd,ˈkɯrd
kõzātõ,ˈkɯzɑːtə
krīzdaɡ,ˈkriːzdɑɡ
kõuvõ,ˈkɯuvə
kõvīstõ,ˈkɯviːstə
ku’b,ˈkuˀb
krǭipa,ˈkrɒːipɑ
ku’llõ,ˈkuˀlːə
ku’ddõ,ˈkuˀdːə
kuņštnikā,ˈkuɲʃtnikɑː
kuo’iɡ,ˈkuoˀiɡ
kuiɡid,ˈkuiɡid
kuolmsadā,ˈkuolmsɑdɑː
kuordõ,ˈkuordə
kuordi,ˈkuordi
kuoŗŗõ,ˈkuorʲːə
kuo’d,ˈkuoˀd
kuŗē,ˈkurʲeː
ku’ž,ˈkuˀʒ
kuosk,ˈkuosk
kūkēra,ˈkuːkeːrɑ
kū’oḑi,ˈkuːˀoɟi
kūdõz,ˈkuːdəz
kūona,ˈkuːonɑ
kūonda,ˈkuːondɑ
kūoļma,ˈkuːoʎmɑ
kūondõ,ˈkuːondə
lakkõ,ˈlɑkːə
laitõ,ˈlɑitə
lanɡõ,ˈlɑnɡə
lǟlamõz,ˈlæːlɑməz
lǟlam,ˈlæːlɑm
latǟrn,ˈlɑtæːrn
lajā,ˈlɑjɑː
la’z,ˈlɑˀz
lǟ’dõ,ˈlæːˀdə
le’žɡli,ˈleˀʒɡli
le’žɡli,ˈleˀʒɡli
leišõmǭ,ˈleiʃəmɒː
lețkēļ,ˈleckeːʎ
lēņtš,ˈleːɲt͡ʃ
lindõ,ˈlində
līnta,ˈliːntɑ
līɡõ,ˈliːɡə
lītiņtõ,ˈliːtiɲtə
lītõld,ˈliːtəld
lītõltõ,ˈliːtəltə
līndamašīn,ˈliːndɑmɑʃiːn
lomāstõ,ˈlomɑːstə
lǭ’ɡstõ,ˈlɒːˀɡstə
louv,ˈlouv
lōka,ˈloːkɑ
lōlami,ˈloːlɑmi
lǭškõz,ˈlɒːʃkəz
lȭɡa,ˈlɯːɡɑ
lōdaǭ’rõn,ˈloːdɑɒːˀrən
lūoltõ,ˈluːoltə
lūotš,ˈluːot͡ʃ
lūodõ,ˈluːodə
ma’ɡɡõ,ˈmɑˀɡːə
märā,ˈmærɑː
lūoltiji,ˈluːoltiji
mänɡ,ˈmænɡ
maksā,ˈmɑksɑː
märts,ˈmærts
ļ,ʎ
mǟtõr,ˈmæːtər
mitikš,ˈmitikʃ
mēļ,ˈmeːʎ
mǟrɡandõ,ˈmæːrɡɑndə
mǟrɡa,ˈmæːrɡɑ
mīeldõ,ˈmiːeldə
mīeldõ,ˈmiːeldə
mǭīlma,ˈmɒːiːlmɑ
mǭ,ˈmɒː
mǭ’,ˈmɒːˀ
mǭmīez,ˈmɒːmiːez
mõtsāizānd,ˈmɯtsɑːizɑːnd
mȯizõ,ˈmɤizə
mǭkierā,ˈmɒːkierɑː
muini,ˈmuini
mõitiz,ˈmɯitiz
mu’ļki,ˈmuˀʎki
mõtsāsiɡā,ˈmɯtsɑːsiɡɑː
murd,ˈmurd
mūnda,ˈmuːndɑ
muškõz,ˈmuʃkəz
mūoštõks,ˈmuːoʃtəks
nädīļ,ˈnædiːʎ
neļļõndpǟva,ˈneʎːəndpæːvɑ
nēļasadā,ˈneːʎɑsɑdɑː
nämād,ˈnæmɑːd
nēļatuoistõnz,ˈneːʎɑtuoistənz
ne’ikuine’i,ˈneˀikuineˀi
ni’m,ˈniˀm
nīski,ˈniːski
nī’em,ˈniːˀem
no’jjõ,ˈnoˀjːə
nēļakimdõ,ˈneːʎɑkimdə
nēļakimdõz,ˈneːʎɑkimdəz
nīt,ˈniːt
nõtk,ˈnɯtk
nominatīv,ˈnominɑtiːv
nǭțõz,ˈnɒːcəz
nõtkāz,ˈnɯtkɑːz
nuttõ,ˈnutːə
nūoŗim,ˈnuːorʲim
nȭŗkõz,ˈnɯːrʲkəz
oksnõ,ˈoksnə
nūoŗkazām,ˈnuːorʲkɑzɑːm
opātiji,ˈopɑːtiji
nūoŗpǭr,ˈnuːorʲpɒːr
o’unõmǭŗa,ˈoˀunəmɒːrʲɑ
outōbus,ˈoutoːbus
oudõ,ˈoudə
ǭra,ˈɒːrɑ
ǭik,ˈɒːik
ǭŗa,ˈɒːrʲɑ
ǭ’rõn,ˈɒːˀrən
o’vpū,ˈoˀvpuː
õ’vvõ,ˈɯˀvːə
õrā,ˈɯrɑː
õ’v,ˈɯˀv
õvātõ,ˈɯvɑːtə
paikõ,ˈpɑikə
paint,ˈpɑint
paɡalam,pɑˈɡɑlɑm
pakkõ,ˈpɑkːə
paļštõ,ˈpɑʎʃtə
ȭɡõ,ˈɯːɡə
ȭ’ɡõ,ˈɯːˀɡə
paprik,ˈpɑprik
paskā,ˈpɑskɑː
paipõl,ˈpɑipəl
pāina,ˈpɑːinɑ
päp,ˈpæp
parāz,ˈpɑrɑːz
pǟɡiņtõ,ˈpæːɡiɲtə
pǟvaīe,ˈpæːvɑiːe
pastõ,ˈpɑstə
peislõ,ˈpeislə
pǟɡiņž,ˈpæːɡiɲʒ
pēļ,ˈpeːʎ
pieksõ,ˈpieksə
piedāɡ,ˈpiedɑːɡ
pilktõ,ˈpilktə
pǟvakarɡimi,ˈpæːvɑkɑrɡimi
piški,ˈpiʃki
pistõ,ˈpistə
pit,ˈpit
pizār,ˈpizɑːr
pīerslõ,ˈpiːerslə
pī’emdõ,ˈpiːˀemdə
pivālind,ˈpivɑːlind
pivāli,ˈpivɑːli
pițki,ˈpicki
polākõz,ˈpolɑːkəz
pǭr,ˈpɒːr
pǭ’mi,ˈpɒːˀmi
pǭŗkimdõ,ˈpɒːrʲkimdə
pǭ’ɡstõ,ˈpɒːˀɡstə
pȯrtõ,ˈpɤrtə
pǭŗ,ˈpɒːrʲ
pȯļļõ,ˈpɤʎːə
pȯiɡõ,ˈpɤiɡə
põzāɡ,ˈpɯzɑːɡ
protsent,ˈprotsent
pȭ’kt,ˈpɯːˀkt
prațțõ,ˈprɑcːə
prīestõr,ˈpriːestər
pūi,ˈpuːi
prūš,ˈpruːʃ
pu’nni,ˈpuˀnːi
pūnɡa,ˈpuːnɡɑ
pūolõ,ˈpuːolə
pūom,ˈpuːom
pū’stõ,ˈpuːˀstə
ra’bdõ,ˈrɑˀbdə
pūošt,ˈpuːoʃt
räukõ,ˈræukə
rāndakēļ,ˈrɑːndɑkeːʎ
ra’ɡdõ,ˈrɑˀɡdə
reņ,ˈreɲ
rēnaz,ˈreːnɑz
rebā,ˈrebɑː
rištīnɡ,ˈriʃtiːnɡ
reiz,ˈreiz
rištizā,ˈriʃtizɑː
rikūz,ˈrikuːz
ri’ɡɡõz,ˈriˀɡːəz
rīț,ˈriːc
rištli,ˈriʃtli
roudi,ˈroudi
rǭntõz,ˈrɒːntəz
rǭziņ,ˈrɒːziɲ
rīpõ,ˈriːpə
rǭz,ˈrɒːz
ro’uɡõz,ˈroˀuɡəz
rūt,ˈruːt
ŗ,rʲ
rūoj,ˈruːoj
rȭskõ,ˈrɯːskə
sa’ɡɡõld,ˈsɑˀɡːəld
salāts,ˈsɑlɑːts
sastā,ˈsɑstɑː
rūostõ,ˈruːostə
sä’dɡõz,ˈsæˀdɡəz
sǟlɡa,ˈsæːlɡɑ
sandrok,ˈsɑndrok
sõ’vvõ,ˈsɯˀvːə
sõ’vvõ,ˈsɯˀvːə
sõ’vvõ,ˈsɯˀvːə
sä’v,ˈsæˀv
sõ’v,ˈsɯˀv
sõ’vlõ,ˈsɯˀvlə
statsij,ˈstɑtsij
sukā,ˈsukɑː
strepīd,ˈstrepiːd
suoimõ,ˈsuoimə
sū,ˈsuː
suoļm,ˈsuoʎm
sūol,ˈsuːol
tarmõ,ˈtɑrmə
suoļɡ,ˈsuoʎɡ
sūrmõd,ˈsuːrməd
tāibaz,ˈtɑːibɑz
tarāvīļa,ˈtɑrɑːviːʎɑ
täutõ,ˈtæutə
tǟnõ,ˈtæːnə
teɡīž,ˈteɡiːʒ
tie’ɡ,ˈtieˀɡ
tieudõ,ˈtieudə
tierā,ˈtierɑː
touvi,ˈtouvi
trink,ˈtrink
tōɡõz,ˈtɒːɡəz
tǭ’ɡõz,ˈtɒːˀɡəz
tuo’dli,ˈtuoˀdli
tup,ˈtup
tū’ɡõ,ˈtuːˀɡə
tomāt,ˈtomɑːt
tūoiznapǟva,ˈtuːoiznɑpæːvɑ
tūodõ,ˈtuːodə
tūoļi,ˈtuːoʎi
tuo’ž,ˈtuoˀʒ
urɡ,ˈurɡ
usk,ˈusk
ūoņõz,ˈuːoɲəz
u’mmistõ,ˈuˀmːistə
va’id,ˈvɑˀid
vaksā,ˈvɑksɑː
ūoņi,ˈuːoɲi
va’rri,ˈvɑˀrːi
vāldame’r,ˈvɑːldɑmeˀr
vakț,ˈvɑkc
vändi,ˈvændi
va’nliki,ˈvɑˀnliki
vǟnta,ˈvæːntɑ
vannõ,ˈvɑnːə
va’nnõ,ˈvɑˀnːə
ve’rri,ˈveˀrːi
ve’žži,ˈveˀʒːi
vie’r,ˈvieˀr
vilkõ,ˈvilkə
vi’llõ,ˈviˀlːə
villõ,ˈvilːə
vī’mkū,ˈviːˀmkuː
vīțõ,ˈviːcə
vīps,ˈviːps
vǭ’jõ,ˈvɒːˀjə
viskõ,ˈviskə
vȯ’zzõ,ˈvɤˀzːə
vīž,ˈviːʒ
vīž,ˈviːʒ
vȯņštõ,ˈvɤɲʃtə
kēratē’ḑ,ˈkeːrɑteːˀɟ
kītõ,ˈkiːtə
kievādkū,ˈkievɑːdkuː
kōɡiņ,ˈkoːɡiɲ
kinō,ˈkinoː
